Name,Position,Team,Salary,FPPG,Source
NYG WR1,WR,NYG,6000,12.0,Estimated
NYG WR2,WR,NYG,5000,10.0,Estimated
NYG WR3,WR,NYG,4000,8.0,Estimated
NYG TE,TE,NYG,5500,8.0,Estimated
NYG K,K,NYG,4500,7.0,Estimated
NYG DST,DST,NYG,4500,7.0,Estimated
MIN QB1,QB,MIN,7500,18.0,Estimated
MIN RB1,RB,MIN,6500,12.0,Estimated
MIN RB2,RB,MIN,5500,10.0,Estimated
MIN RB3,RB,MIN,4500,8.0,Estimated
MIN WR1,WR,MIN,6000,12.0,Estimated
MIN WR2,WR,MIN,5000,10.0,Estimated
MIN WR3,WR,MIN,4000,8.0,Estimated
MIN TE,TE,MIN,5500,8.0,Estimated
MIN K,K,MIN,4500,7.0,Estimated
MIN DST,DST,MIN,4500,7.0,Estimated
CIN QB1,QB,CIN,7500,18.0,Estimated
CIN RB1,RB,CIN,6500,12.0,Estimated
CIN RB2,RB,CIN,5500,10.0,Estimated
CIN RB3,RB,CIN,4500,8.0,Estimated
CIN WR1,WR,CIN,6000,12.0,Estimated
CIN WR2,WR,CIN,5000,10.0,Estimated
CIN WR3,WR,CIN,4000,8.0,Estimated
CIN TE,TE,CIN,5500,8.0,Estimated
CIN K,K,CIN,4500,7.0,Estimated
CIN DST,DST,CIN,4500,7.0,Estimated
PIT QB1,QB,PIT,7500,18.0,Estimated
PIT RB1,RB,PIT,6500,12.0,Estimated
PIT RB2,RB,PIT,5500,10.0,Estimated
PIT RB3,RB,PIT,4500,8.0,Estimated
PIT WR1,WR,PIT,6000,12.0,Estimated
PIT WR2,WR,PIT,5000,10.0,Estimated
PIT WR3,WR,PIT,4000,8.0,Estimated
PIT TE,TE,PIT,5500,8.0,Estimated
PIT K,K,PIT,4500,7.0,Estimated
PIT DST,DST,PIT,4500,7.0,Estimated
